symptoms,department
shortness of breath,Cardiologist
palpitations,Cardiologist
severe bleeding,EmergencyDepartment
unconsciousness,EmergencyDepartment
severe allergic reaction,EmergencyDepartment
broken bone,EmergencyDepartment
severe abdominal pain,EmergencyDepartment
anxiety,Psychiatrist
hallucinations,Psychiatrist
difficulty concentrating,Psychiatrist
skin rash,Dermatologist
acne,Dermatologist
eczema,Dermatologist
psoriasis,Dermatologist
hair loss,Dermatologist
sneezing,Allergist
itchy eyes,Allergist
hives,Allergist
swelling,Allergist
ear pain,Pediatrician
vomiting,Pediatrician
diarrhea,Pediatrician
cough in children,Pediatrician
joint pain,Orthopedist
back pain,Orthopedist
stiffness,Orthopedist
swelling in joints,Orthopedist
pre-surgery anxiety,Anesthesiologist
difficulty sleeping,Anesthesiologist
post-surgery pain,Anesthesiologist
pain during childbirth,Anesthesiologist
unexplained weight loss,Oncologist
persistent fatigue,Oncologist
lumps or swelling,Oncologist
chronic pain,Oncologist
unexplained bleeding,Oncologist
blood in urine,Nephrologist
swelling in ankles,Nephrologist
high blood pressure,Nephrologist
frequent urination,Nephrologist
painful urination,Nephrologist
heart beat,Cardiologist
general check-up,GeneralPhysician
fever,Pediatrician
cancer diagnosis,Oncologist
pre-surgery assessment,Anesthesiologist
bleeding,EmergencyDepartement
insomnia,Psychiatrist
back pain,Orthopedist
cough,Pediatrician
skin infection,Dermatologist
acute pain,EmergencyDepartement
panic attacks,Psychiatrist
thyroid problems,GeneralPhysician
leukemia,Oncologist
heart attack,Cardiologist
childhood vaccination,Pediatrician
bipolar disorder,Psychiatrist
diabetes management,GeneralPhysician
tumor pain,Oncologist
trauma,EmergencyDepartement
arthritis,Orthopedist
schizophrenia,Psychiatrist
radiation therapy,Oncologist
dialysis,Nephrologist
cholesterol management,GeneralPhysician
psoriasis,Dermatologist
ear infection,Pediatrician
regional anesthesia,Anesthesiologist
fractures,Orthopedist
chemotherapy side effects,Oncologist
common cold,GeneralPhysician
sports injuries,Orthopedist

dizziness,Cardiologist
fainting,Cardiologist
leg swelling,Cardiologist
rapid heartbeat,Cardiologist
irregular heartbeat,Cardiologist
high blood pressure,Cardiologist
low blood pressure,Cardiologist
chest tightness,Cardiologist
syncope,Cardiologist
exercise intolerance,Cardiologist
angina,Cardiologist
cyanosis,Cardiologist
orthopnea,Cardiologist
paroxysmal nocturnal dyspnea,Cardiologist
peripheral edema,Cardiologist
claudication,Cardiologist
heart murmur,Cardiologist
bradycardia,Cardiologist
tachycardia,Cardiologist
heart flutter,Cardiologist
heart failure symptoms,Cardiologist
congestive heart failure,Cardiologist
coronary artery disease,Cardiologist
myocardial infarction,Cardiologist
stroke,Cardiologist
transient ischemic attack,Cardiologist
atrial fibrillation,Cardiologist
ventricular fibrillation,Cardiologist
ventricular tachycardia,Cardiologist
atrial flutter,Cardiologist
endocarditis,Cardiologist
pericarditis,Cardiologist
myocarditis,Cardiologist
cardiomyopathy,Cardiologist
aortic aneurysm,Cardiologist
aortic dissection,Cardiologist
mitral valve prolapse,Cardiologist
mitral stenosis,Cardiologist
aortic stenosis,Cardiologist
tricuspid regurgitation,Cardiologist
pulmonary hypertension,Cardiologist
cardiac arrest,Cardiologist
ischemia,Cardiologist
stable angina,Cardiologist
unstable angina,Cardiologist
silent ischemia,Cardiologist

itchy eyes,Allergist
runny nose,Allergist
nasal congestion,Allergist
postnasal drip,Allergist
sinus pressure,Allergist
sinus headache,Allergist
wheezing,Allergist
coughing,Allergist
chest tightness,Allergist
skin rash,Allergist
hives,Allergist
eczema,Allergist
swelling of lips,Allergist
swelling of face,Allergist
swelling of tongue,Allergist
